Reference Module 3  (RM3) Acess: https://energy.sandia.gov/energy/renewable-energy/water-power/technology-development/reference-model-project-rmp/,,,,,,,,,
rated capacity w,290000,,,,,,,,
mechanical to electrical energy conversion efficiency,1,,,,,,,,
losses due to device availability,0.95,,,,,,,,
losses due to transmission efficiency,0.98,,,,,,,,
minimum depth [m],5,,,,,,,,
maximum depth [m],25,,,,,,,,
,,,,,,,,,
Mechanical Power Matrix (Row: Hs, Column: Tp),,,,,,,,
,5,6,7,8,9,10,11,12,13
0.5,0,0,0,0,0,0,1000,3000,3000
1,20000,30000,38000,42000,44000,44000,45000,47000,45000
1.5,80000,85000,92000,97000,102000,103000,104000,100000,104000
2,140000,147000,152000,158000,155000,155000,160000,161000,156000
2.5,192000,197000,208000,202000,203000,209000,211000,201000,204000
3,241000,237000,237000,241000,243000,230000,236000,231000,235000
3.5,0,271000,272000,269000,268000,267000,270000,260000,260000
4,0,291000,290000,290000,280000,287000,276000,278000,277000
4.5,0,291000,290000,290000,280000,287000,276000,278000,277000
5,0,0,290000,290000,280000,287000,276000,278000,277000
5.5,0,0,290000,290000,280000,287000,276000,278000,277000
6,0,0,290000,290000,280000,287000,276000,278000,277000
