Reference Module 3  (RM3) Acess: https://energy.sandia.gov/energy/renewable-energy/water-power/technology-development/reference-model-project-rmp/,,,,,,,,,,,,,,,,,,,
rated capacity w,1500000,,,,,,,,,,,,,,,,,,
mechanical to electrical energy conversion efficiency,1,,,,,,,,,,,,,,,,,,
losses due to device availability,0.95,,,,,,,,,,,,,,,,,,
losses due to transmission efficiency,0.98,,,,,,,,,,,,,,,,,,
minimum depth [m],50,,,,,,,,,,,,,,,,,,
maximum depth [m],150,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Mechanical Power Matrix (Row: Hs, Column: Tp),,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.35,0,0,0,5000,27000,62000,88000,94000,85000,72000,58000,47000,33000,22000,18000,14000,10000,5000,0
0.7,0,0,0,24000,108000,237000,336000,358000,326000,274000,222000,178000,142000,114000,93000,75000,61000,51000,41000
1.05,0,0,0,53000,241000,525000,730000,769000,709000,605000,493000,397000,317000,254000,206000,168000,137000,114000,91000
1.4,0,0,0,95000,427000,871000,1116000,1170000,1106000,969000,834000,688000,558000,449000,366000,297000,242000,201000,161000
1.75,0,0,0,0,650000,1258000,1470000,1450000,1467000,1299000,1136000,968000,826000,688000,567000,462000,378000,314000,251000
2.1,0,0,0,0,0,1450000,1500000,1500000,1500000,1460000,1444000,1253000,1071000,915000,782000,651000,540000,450000,361000
2.45,0,0,0,0,0,0,1500000,1500000,1500000,1500000,1500000,1440000,1277000,1119000,971000,845000,724000,607000,490000
2.8,0,0,0,0,0,0,0,1500000,1500000,1500000,1500000,1500000,1450000,1320000,1180000,1008000,865000,750000,635000
3.15,0,0,0,0,0,0,0,0,1500000,1500000,1500000,1500000,1500000,1450000,1350000,1175000,1039000,900000,0
3.5,0,0,0,0,0,0,0,0,0,1500000,1500000,1500000,1500000,1500000,1470000,1319000,1192000,0,0
3.85,0,0,0,0,0,0,0,0,0,0,1500000,1500000,1500000,1500000,1500000,1453000,0,0,0
4.2,0,0,0,0,0,0,0,0,0,0,0,1500000,1500000,1500000,1500000,0,0,0,0
4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
