Reference Module 3  (RM3) Acess: https://energy.sandia.gov/energy/renewable-energy/water-power/technology-development/reference-model-project-rmp/,,,,,,,,,,,,,,,,,
rated capacity w,750,,,,,,,,,,,,,,,,
mechanical to electrical energy conversion efficiency,1,,,,,,,,,,,,,,,,
losses due to device availability,0.95,,,,,,,,,,,,,,,,
losses due to transmission efficiency,0.98,,,,,,,,,,,,,,,,
minimum depth [m],50,,,,,,,,,,,,,,,,
maximum depth [m],150,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mechanical Power Matrix (Row: Hs, Column: Tp),,,,,,,,,,,,,,,,
,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,22,29,34,37,38,38,37,35,32,29,26,23,21,0,0,0
1.5,32,50,65,76,83,86,86,83,78,72,65,59,53,47,42,37,33
2,57,88,115,136,148,153,152,147,138,127,116,104,93,83,74,66,59
2.5,89,138,180,212,231,238,238,230,216,199,181,163,146,130,116,103,92
3,129,198,260,305,332,340,332,315,292,266,240,219,210,188,167,149,132
3.5,0,270,354,415,438,440,424,404,377,362,326,292,260,230,215,202,180
4,0,0,462,502,540,546,530,499,475,429,384,366,339,301,267,237,213
4.5,0,0,544,635,642,648,628,590,562,528,473,432,382,356,338,300,266
5,0,0,0,739,726,731,707,687,670,607,557,521,472,417,369,348,328
5.5,0,0,0,750,750,750,750,750,737,667,658,586,530,496,446,395,355
6,0,0,0,0,750,750,750,750,750,750,711,633,619,558,512,470,415
6.5,0,0,0,0,750,750,750,750,750,750,750,743,658,621,579,512,481
7,0,0,0,0,0,750,750,750,750,750,750,750,750,676,613,584,525
7.5,0,0,0,0,0,0,750,750,750,750,750,750,750,750,686,622,593
8,0,0,0,0,0,0,0,750,750,750,750,750,750,750,750,690,625
